XWJC_x;XWJC_y;XWJC_z;XEJC_x;XEJC_y;XEJC_z;XGHJC_x;XGHJC_y;XGHJC_z
32.8998;7.9279;1545.1196;172.3367;125.6484;1362.9761;-33.7581;317.8249;1501.0942
31.1375;8.1646;1547.9845;172.3367;124.0375;1365.7912;-33.9088;317.7165;1501.8300
29.3687;8.3801;1550.8568;172.2020;122.4320;1368.5590;-34.0433;317.7165;1502.6572
27.6727;8.5212;1553.7609;171.9914;120.8196;1371.3584;-34.2117;317.7165;1503.3854
26.0501;8.5398;1556.6363;171.7172;119.2075;1374.1665;-34.4104;317.7558;1504.1681
24.4968;8.5398;1559.6049;171.4173;117.6101;1377.0210;-34.5330;317.7984;1504.8613
22.9812;8.5398;1562.5345;171.0361;116.0188;1379.8812;-34.7214;317.9903;1505.4735
21.5031;8.3675;1565.4156;170.5851;114.4728;1382.7714;-34.8036;318.3140;1506.0721
20.0125;7.9434;1568.4581;170.1052;112.9792;1385.6750;-34.9522;318.6202;1506.5470
18.5193;7.4954;1571.3470;169.5898;111.5504;1388.6155;-35.1027;319.1161;1506.9503
17.1205;7.1011;1574.0945;169.0392;110.1402;1391.4454;-35.1046;319.7259;1507.3655
15.6916;6.7314;1576.7678;168.5202;108.7902;1394.2981;-35.1184;320.4031;1507.6733
14.3132;6.5720;1579.2498;167.9966;107.4570;1397.1208;-35.1184;321.3569;1507.8332
12.9645;6.4582;1581.6140;167.4448;106.1908;1399.8928;-35.1184;322.0129;1507.8991
11.5660;6.2759;1584.1111;166.8715;104.9561;1402.6899;-35.0177;322.7595;1508.0959
10.1156;6.0959;1586.6581;166.2528;103.7327;1405.5405;-34.9177;323.5138;1508.2406
8.5780;5.8776;1589.1803;165.6401;102.5773;1408.4172;-34.9177;324.2420;1508.3811
6.9403;5.6291;1591.5980;165.0475;101.4851;1411.2542;-34.9177;324.7802;1508.6724
5.3448;5.3984;1593.9978;164.3841;100.4489;1414.0676;-34.9738;325.2651;1509.1058
3.6786;5.1068;1596.2818;163.7468;99.4541;1416.7989;-35.2522;325.5223;1509.6999
1.9667;4.7767;1598.4518;163.0481;98.5332;1419.5335;-35.5663;325.7049;1510.4115
0.3603;4.5869;1600.3165;162.3386;97.6770;1422.1867;-36.0609;325.8428;1511.0853
-1.1426;4.3511;1602.1443;161.6255;96.8732;1424.7575;-36.5309;325.9620;1511.9783
-2.7159;3.9097;1603.9473;160.8450;96.1418;1427.2705;-37.0994;326.1058;1512.7897
-4.2554;3.3862;1605.7525;160.0956;95.3861;1429.7153;-37.5366;326.3635;1513.5902
-5.7769;2.7631;1607.5884;159.3354;94.6970;1432.0855;-37.9884;326.6568;1514.3708
-7.2746;2.0601;1609.3744;158.5662;94.0423;1434.4388;-38.4293;327.0141;1514.9385
-8.6972;1.3281;1611.1406;157.7315;93.3975;1436.7373;-38.7466;327.5255;1515.4095
-10.0184;0.5754;1612.8756;156.8936;92.8078;1438.9238;-38.9742;328.1220;1515.8812
-11.3000;-0.1797;1614.5765;156.0419;92.2672;1441.0274;-39.1570;328.7900;1516.3483
-12.5400;-0.9264;1616.2631;155.1794;91.7803;1443.0100;-39.3579;329.4390;1516.7314
-13.6877;-1.6053;1617.8972;154.2865;91.3339;1444.9255;-39.4007;330.1530;1517.0725
-14.8185;-2.1585;1619.4134;153.3697;90.8997;1446.7364;-39.4250;330.9040;1517.4153
-15.9287;-2.6454;1620.9679;152.4691;90.5398;1448.3866;-39.4250;331.5999;1518.0447
-17.0414;-2.9613;1622.3368;151.5890;90.2280;1449.9539;-39.4097;332.3438;1518.1683
-18.1299;-3.0180;1623.7280;150.7026;89.9293;1451.4528;-39.4007;333.1485;1518.2257
-19.2081;-3.0180;1625.1301;149.8500;89.6851;1452.8138;-39.3961;334.3114;1518.3128
-20.2873;-3.0180;1626.3304;149.0140;89.4615;1454.0599;-39.3372;335.1940;1518.3389
-21.3254;-2.7039;1627.6377;148.2189;89.2858;1455.2112;-39.2486;336.0032;1518.3389
-22.3234;-2.1578;1628.7336;147.4877;89.1592;1456.2380;-39.2486;336.7086;1518.5027
-23.2627;-1.5270;1629.7567;146.8367;89.1308;1457.1333;-39.2486;337.3298;1518.6340
-24.2254;-0.7397;1630.5226;146.2662;89.1308;1457.8677;-39.3142;337.8787;1518.8526
-25.2047;0.1192;1631.2632;145.7544;89.1308;1458.4725;-39.4528;338.3388;1519.1057
-26.2123;1.1422;1631.8287;145.2500;89.1981;1458.9422;-39.5940;338.8254;1519.3138
